x-axis,NO_LBL,2
second,Volt,Volt
-3.395000E-06,-1.533007905673E+00,-119.823557962E-03
-3.390000E-06,-1.528715183707E+00,-106.803691004E-03
-3.385000E-06,-1.538990847804E+00,-111.231932138E-03
-3.380000E-06,-1.532408035831E+00,-111.830218812E-03
-3.375000E-06,-1.534866092410E+00,-102.308866352E-03
-3.370000E-06,-1.532510414019E+00,-115.178377597E-03
-3.365000E-06,-1.534354201468E+00,-95.658174172E-03
-3.360000E-06,-1.533838918023E+00,-115.318601037E-03
-3.355000E-06,-1.531796329924E+00,-91.994482493E-03
-3.350000E-06,-1.531513545988E+00,-111.249482685E-03
-3.345000E-06,-1.534997646121E+00,-92.521647236E-03
-3.340000E-06,-1.529506918417E+00,-101.514266863E-03
-3.335000E-06,-1.537707954113E+00,-94.526510706E-03
-3.330000E-06,-1.536114307186E+00,-92.102937030E-03
-3.325000E-06,-1.538344387593E+00,-96.111849770E-03
-3.320000E-06,-1.528073699167E+00,-84.923451706E-03
-3.315000E-06,-1.533419152372E+00,-94.209681122E-03
-3.310000E-06,-1.529674055710E+00,-79.658061561E-03
-3.305000E-06,-1.540858684326E+00,-92.483952763E-03
-3.300000E-06,-1.535642523163E+00,-78.089941332E-03
-3.295000E-06,-1.534551418950E+00,-87.574594453E-03
-3.290000E-06,-1.532707103779E+00,-78.199828260E-03
-3.285000E-06,-1.531276070809E+00,-82.112363771E-03
-3.280000E-06,-1.533025471297E+00,-77.515628343E-03
-3.275000E-06,-1.530675220910E+00,-78.572626597E-03
-3.270000E-06,-1.540233785354E+00,-77.523875893E-03
-3.265000E-06,-1.537268135003E+00,-74.967074873E-03
-3.260000E-06,-1.534028521222E+00,-76.942943754E-03
-3.255000E-06,-1.533581238606E+00,-73.647150131E-03
-3.250000E-06,-1.541738322547E+00,-75.985654920E-03
-3.245000E-06,-1.534852220844E+00,-71.489277256E-03
-3.240000E-06,-1.539594637871E+00,-73.848966339E-03
-3.235000E-06,-1.537515938468E+00,-73.077043845E-03
-3.230000E-06,-1.536606069280E+00,-71.744212516E-03
-3.225000E-06,-1.534682294160E+00,-71.582985716E-03
-3.220000E-06,-1.534658018920E+00,-69.052178804E-03
-3.215000E-06,-1.538981198019E+00,-69.893459129E-03
-3.210000E-06,-1.521049032582E+00,-66.706662843E-03
-3.205000E-06,-1.535433092672E+00,-68.725322490E-03
-3.200000E-06,-1.533678113401E+00,-65.345424959E-03
-3.195000E-06,-1.532806918743E+00,-66.834824051E-03
-3.190000E-06,-1.530163857691E+00,-65.136175401E-03
-3.185000E-06,-1.534291100920E+00,-63.902601158E-03
-3.180000E-06,-1.536317329618E+00,-64.928735178E-03
-3.175000E-06,-1.534925951233E+00,-62.538875439E-03
-3.170000E-06,-1.531338794412E+00,-63.715078694E-03
-3.165000E-06,-1.535536601694E+00,-59.198903893E-03
-3.160000E-06,-1.527473452380E+00,-63.313346079E-03
-3.155000E-06,-1.527991525216E+00,-60.259234339E-03
-3.150000E-06,-1.535335011653E+00,-63.589375166E-03
-3.145000E-06,-1.535565927994E+00,-59.155660794E-03
-3.140000E-06,-1.532770581271E+00,-63.148892633E-03
-3.135000E-06,-1.531133962646E+00,-59.129651607E-03
-3.130000E-06,-1.531553275963E+00,-58.156244616E-03
-3.125000E-06,-1.531141124596E+00,-63.641906183E-03
-3.120000E-06,-1.527682204371E+00,-53.710860036E-03
-3.115000E-06,-1.523483793977E+00,-67.338995165E-03
-3.110000E-06,-1.521739972271E+00,-51.525123407E-03
-3.105000E-06,-1.536124710861E+00,-66.392547261E-03
-3.100000E-06,-1.534078579482E+00,-50.656491973E-03
-3.095000E-06,-1.539286070916E+00,-63.736021743E-03
-3.090000E-06,-1.536265989746E+00,-53.082855039E-03
-3.085000E-06,-1.527193156280E+00,-59.597741572E-03
-3.080000E-06,-1.540828453359E+00,-56.704328908E-03
-3.075000E-06,-1.531484068910E+00,-53.840061611E-03
-3.070000E-06,-1.533222387224E+00,-65.112985761E-03
-3.065000E-06,-1.532341165836E+00,-47.357064602E-03
-3.060000E-06,-1.532111681885E+00,-66.811709800E-03
-3.055000E-06,-1.534896172599E+00,-44.909049830E-03
-3.050000E-06,-1.527887413082E+00,-66.939735308E-03
-3.045000E-06,-1.534859985905E+00,-47.243408227E-03
-3.040000E-06,-1.535602793189E+00,-59.663601355E-03
-3.035000E-06,-1.528193190646E+00,-55.893385096E-03
-3.030000E-06,-1.529476838227E+00,-52.961946248E-03
-3.025000E-06,-1.548884591501E+00,-60.673436285E-03
-3.020000E-06,-1.538144380720E+00,-44.710972914E-03
-3.015000E-06,-1.533441316723E+00,-66.269467268E-03
-3.010000E-06,-1.539222065701E+00,-42.619412156E-03
-3.005000E-06,-1.528461952238E+00,-67.252659744E-03
-3.000000E-06,-1.531614416398E+00,-44.941904333E-03
-2.995000E-06,-1.537885796636E+00,-61.636153123E-03
-2.990000E-06,-1.534559334789E+00,-51.568788684E-03
-2.985000E-06,-1.531901572893E+00,-53.185866495E-03
-2.980000E-06,-1.540488072269E+00,-58.213902082E-03
-2.975000E-06,-1.530172753586E+00,-45.862765229E-03
-2.970000E-06,-1.529189380177E+00,-64.084891629E-03
-2.965000E-06,-1.533503437214E+00,-42.430653313E-03
-2.960000E-06,-1.533898927624E+00,-64.665597601E-03
-2.955000E-06,-1.535557032099E+00,-44.002573146E-03
-2.950000E-06,-1.530778729933E+00,-58.375792304E-03
-2.945000E-06,-1.532294726245E+00,-52.729491972E-03
